instance,year,new_cases,original_cases,appeal_cases,eletronic_cases,finished_cases,pendent_cases,decisions_cases,suspended_cases,internal_appeal,internal_appeals_judged,internal_appeals_pendent,magistrates,judiciary_civil_servants
1,2011,60027,60027,,616,60733,62275,50633,,239,,111,3072,9322
1,2012,754155,754155,,,388319,346910,435709,,2623,,349,3032,11935
1,2013,122350,122350,,,393894,98452,355109,,1693,,147,3033,11628
1,2014,50596,50596,,,100056,53096,72270,,537,,73,2998,12146
1,2015,91140,91140,,,92094,69482,68757,5721,222,177,111,3031,11292
1,2016,1005702,1005702,,,628584,429977,595231,42810,2115,1821,758,3036,12315
1,2017,134404,134404,,9502,461625,113637,363395,6568,1212,772,556,2669,11464
1,2018,130037,130037,,1,156459,106757,113146,7459,625,208,795,2649,12192
1,2019,59370,59370,,2590,97396,35711,81365,3520,465,181,814,2645,9967
1,2020,1324239,1324239,,1318630,641282,711299,726907,62326,10627,12560,1646,2645,10693
2,2011,21938,21938,,,40017,12017,45178,,2375,,924,225,3011
2,2012,63615,63615,,,65431,13218,73867,,11536,,891,257,1598
2,2013,22169,22169,,,23904,10649,22028,,5097,,1644,202,1613
2,2014,58877,58877,,,40023,27417,49737,,9906,,1727,181,1632
2,2015,11804,11804,5046,,26838,11132,26578,173,3202,2930,746,178,1628
2,2016,46031,46031,37773,510,44461,15428,39419,290,4778,4660,971,186,1563
2,2017,27422,27422,15214,9813,20199,17702,22120,136,3028,2851,655,187,1616
2,2018,73156,73156,5826,66614,45081,36701,44712,133,6338,5206,1108,187,1647
2,2019,6968,6968,2573,4781,27453,19952,25552,58,2405,2408,1090,191,1590
2,2020,42495,42495,31721,41747,37079,24945,35390,38,5003,4664,821,189,2369
3,2011,3653,,,,6408,2497,8121,,2586,,,14,142
3,2012,12793,,,,8422,2989,15880,,3834,,643,14,
3,2013,5025,,,,7979,6260,8105,,2868,,345,9,139
3,2014,7387,,,,8565,5637,10193,,3590,,517,9,142
3,2015,3526,246,3280,43,4940,1607,5716,283,1864,3742,40,14,191
3,2016,5598,137,5461,,5479,4364,6010,47,2024,3496,21,14,165
3,2017,3370,570,2800,655,4120,3737,4247,297,1866,1586,54,14,157
3,2018,5618,1718,3900,3346,5246,2274,6151,86,2230,3419,522,14,163
3,2019,2370,487,1883,947,1470,2057,4312,69,1995,3297,272,14,134
3,2020,4796,1180,3616,4614,4885,867,6215,64,5885,2738,2367,14,254
